ID,Text,Comment
Building.Bakery.Description,Farklı unlardan ekmek ve hamur işi üretir.,Pastry being a baked good.
Building.Bakery.DisplayName,Fırın,Building that bakes bread
Building.Bakery.FlavorDescription,"“Talaşlı sıcak çörek gibisi yok."" —Ngonel Nine","Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.Barrack.Description,"Pratik, paylaşımlı konutlar.",
Building.Barrack.DisplayName,Baraka,Barracks are cramped homes for beavers. Not related to soldiers.
Building.Barrack.FlavorDescription,"“İki Köykuyruk günün birinde bir barakaya gitmiş."" —Demir Diş fıkrası","Reference to 'walk into a bar' jokes; only Iron Teeth use Barracks, as Folktails prefer different lodges and are less work-focused than Iron Teeth"
Building.BeaverBust.Description,Önemli görünen bir kunduzun büstü.,
Building.BeaverBust.DisplayName,Kunduz Büstü,
Building.BeaverBust.FlavorDescription,"Yaramaz yavrular, İhtiyar Kazko'nun yüzüne çeşitli detaylar eklemeyi severler.","Ol' Kazko is a legendary forefather of modern beavers, famous inventor, pioneer of rapid industrialization. Kits are young beavers."
Building.BeaverStatue.Description.Folktails,Tombul bir kunduzun heykeli.,
Building.BeaverStatue.Description.IronTeeth,Çalışkan bir kunduzun heykeli.,
Building.BeaverStatue.DisplayName,Kunduz Heykeli,Statue of a beaver
Building.BeaverStatue.FlavorDescription.Folktails,"Bereketli yıllarda gururlandırır, kötü yıllarda ise acıktırır.",The statue shows a beaver with a full belly so it can make one hungry when looking at it.
Building.BeaverStatue.FlavorDescription.IronTeeth,"Hazırlanan orijinal oraklı tasarım, fazla Köykuyruk tarzı durduğu için değiştirdiler.",This metal statue depicts a beaver worker with a raised hammer. Hammer and sickle is an emblem of Soviet Russia. Folktails must be same as faction name (Faction.Folktails.DisplayName).
Building.Beehive.Description,Yakınlardaki ekinlerin büyümesini hızlandırır.,
Building.Beehive.DisplayName,Kovan,
Building.Beehive.FlavorDescription,"""Zamanla vızıltıya alışıyorsun."" —Ngonel Nine","Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.Bell.Description,İş günlerinin başında ve sonunda çalar.,This is a large metal bell that rings twice a day.
Building.Bell.DisplayName,Çan,A large metal bell
Building.Bell.FlavorDescription,"""Sabah çanını dört gözle beklemelisin."" —İhtiyar Kazko","Ol' Kazko is a legendary forefather of modern beavers, famous inventor, pioneer of rapid industrialization."
Building.Bench.DisplayName,Bank,
Building.Bench.FlavorDescription,Bazı serseriler arada bir kamu mallarını kemirir.,
Building.Blockage.Description,Suyu durduran doğal bir engel. Yıkılabilir.,Demolished meaning removed by a worker.
Building.Blockage.DisplayName,Tıkanıklık,"Not a dam since that's another building in game but if not possible it could be called a Natural Dam. Visually, it's a block made out of twigs and loose stones."
Building.Blockage.FlavorDescription,Bir zamanlar dal ve çamur yığınlarının baraj sayıldığına inanmak zor.,
Building.BotAssembler.Description,Gündelik işleri yerine getirmeleri için otomatik botlar üretir.,Bots should be the same as Bot.PluralDisplayName
Building.BotAssembler.DisplayName,Bot Birleştirici,A factory for assembling bots. Bot should be the same as Bot.TemplateName
Building.BotAssembler.FlavorDescription,"Her şey ""Bugün çalışmasam ne olur?"" düşüncesiyle başladı. —Pina",
Building.BotPartFactory.Description,Bot parçaları üretir.,Bot should be the same as Bot.TemplateName
Building.BotPartFactory.DisplayName,Bot Parçası Fabrikası,"A factory for creating bot parts, that are later assembled into full bots. Bot should be the same as Bot.TemplateName."
Building.BotPartFactory.FlavorDescription,"""Bitti! Bir saniye, bu büyük vida da nereden çıktı?"" —Pina",
Building.Brazier.Description,Dekoratif bir muhafaza içinde güvenle yanan harlı bir ateş.,
Building.Brazier.DisplayName,Ocak,
Building.Brazier.FlavorDescription,"""Vay be, yakıyorsun ortalığı!"" —Suli",Play on words with lit meaning both lit up and cool. If possible try to adapt the phrase to fit your language. Suli is a younger beaver that likes to play tricks on their fellow beavers and isn't related to any faction in particular. Translated name shouldn't suggest a gender if possible.
Building.BrazierOfBonding.DisplayName,Dayanışma Ocağı,A large brazier surrounded by statues of a beaver family
Building.BrazierOfBonding.FlavorDescription,"""Bizim için olmasa da gelecek nesiller için."" —Ngonel Nine","Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.BreedingPod.Description,Demir Dişlerin tercih ettikleri tek üreme yöntemi.,Iron Teeth must be the same as the faction name (Faction.IronTeeth.DisplayName).
Building.BreedingPod.DisplayName,Üreme Kapsülü,
Building.BreedingPod.FlavorDescription,"""Yavrular bizim geleceğimiz. Gelecek aya kadar on iki yavru daha lazım."" —İhtiyar Kazko","Ol' Kazko is a legendary forefather of modern beavers, famous inventor, pioneer of rapid industrialization."
Building.BuildersHut.Description,Fazladan inşaatçı istihdam eder.,
Building.BuildersHut.DisplayName,İnşaatçı Locası,
Building.BuildersHut.FlavorDescription,Kunduzroma bir günde kurulmadı. Efsanelere göre sadece altı saat sürmüş.,Beaverome is a mythical beaver city built by beavers of many different factions who banded together to work on timbertech for the greater good of all beavers.
Building.BulletinPole.Description,Halka yapılan duyurular için dekoratif bir direk.,
Building.BulletinPole.DisplayName,Bülten Direği,
Building.BulletinPole.FlavorDescription,İş yerinde yaralandınız mı? Tazminat hakkınız olabilir! Suli ile iletişime geçin.,Reference to common compensation scam text. Suli is a younger beaver that likes to play tricks on their fellow beavers and isn't related to any faction in particular. Translated name shouldn't suggest a gender if possible.
Building.Campfire.Description,Kunduzların akşam rahatlayıp sosyalleştikleri bir yer.,
Building.Campfire.DisplayName,Kamp Ateşi,
Building.Campfire.FlavorDescription,Bazen ateş ve odun iyi bir ikilidir.,
Building.Carousel.Description,"Her yaştan kunduza uygun, ahşaptan bir atlıkarınca.",
Building.Carousel.DisplayName,Atlıkarınca,Alternative name: Merry-Go-Round
Building.Carousel.FlavorDescription,"""Nereye gittiğini sanıyorsun yavrucuk? Bu dallar kendi kendilerini soymayacak."" —Ngonel Nine","Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.Centrifuge.Description,"Tehlikeli bulantıyı, kullanılabilir öze dönüştüren bir ağır iş makinesi.",Badwater should be the same as Good.Badwater.DisplayName. Extract should be the same as Good.Extract.DisplayName.
Building.Centrifuge.DisplayName,Santrifüj,
Building.Centrifuge.FlavorDescription,"Bu fikir, kontrolden çıkıp çok hızlı dönmeye başlayan bir Köykuyruk atlıkarıncasından çıktı.","Folktails must be the same as Faction.Folktails.DisplayName, carousel should be the same as Building.Carousel.DisplayName."
Building.ChargingStation.Description,Botların şarjlarını doldurmak için geldikleri yer.,Bots should be the same as Bot.PluralDisplayName
Building.ChargingStation.DisplayName,Şarj İstasyonu,A mechanically powered building where bots come to recharge
Building.ChargingStation.FlavorDescription,Demirbot dışındaki cihazlarla kullanılamaz.,"Referring the annoying ""a different connector for each device"" trend in IT. Ironbot must be the same as Bot.DisplayName.IronTeeth"
Building.Clock.Description,"Dedelerin bile okuyabileceği büyüklükte, dekoratif bir saat.",
Building.Clock.DisplayName,Saat,
Building.Clock.FlavorDescription,Kunduzların geçmişte su saati kullandıklarına inanmak çok zor.,Clepsydra is an ancient water clock.
Building.CoffeeBrewery.Description,Kahve demler.,Coffee should be the same as in Good.Coffee.DisplayName.
Building.CoffeeBrewery.DisplayName,Kahveci,A building that brews coffee.
Building.CoffeeBrewery.FlavorDescription,Tüketim sınırı olmasa Demiş Dişler hep uykusuz gezerdi.,
Building.CompactWaterWheel.Description,Su akışını enerjiye dönüştüren küçük bir jeneratör.,
Building.CompactWaterWheel.DisplayName,Küçük Su Değirmeni,A water wheel that's smaller than other versions.
Building.CompactWaterWheel.FlavorDescription,Taşıma su ile değirmen dönmezmiş.,A play on 'can't reinvent the wheel'
Building.ContaminationBarrier.Description,Toprak kirliliğinin yer altına yayılmasını engeller.,Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project.
Building.ContaminationBarrier.DisplayName,Kirlilik Bariyeri,Name of the building that stops spreading soil contamination that's placed on the ground and is presented as square shape with objects sticking out. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project. Barrier should be the same between Building.IrrigationBarrier.DisplayName and Building.ContaminationBarrier.DisplayName.
Building.ContaminationBarrier.FlavorDescription,"“Bariyer giren eve bulantı mevsimi girmez!"" —slogan posteri","Reference to the ""An apple a day, keeps the doctor away"" proverb. If possible try to adapt the phrase to fit your language."
Building.ContemplationSpot.Description,Kunduzların doğayı seyredebilecekleri küçük bir yer.,
Building.ContemplationSpot.DisplayName,Seyir Noktası,
Building.ContemplationSpot.FlavorDescription,Kunduzlar burada biraz kafa dinleyip Doğa Ana'nın sürprizleri üzerine düşünür.,
Building.ControlTower.Description,Çevredeki botlara performanslarını iyileştiren sinyaller gönderen uzun bir yapı.,Bots should be the same as Bot.PluralDisplayName
Building.ControlTower.DisplayName,Kontrol Kulesi,A building that emits a signal to nearby bots
Building.ControlTower.FlavorDescription,"Bir bot, kunduz varlıklar tarafından verilen emirlere itaat etmek zorundadır. Bu durum, yalnızca kunduzlar artık var olmadığında geçersizdir.","A loose adaptation of Asimov's second law of robotics (and a hint at the ""sentient AI"" scenario). Bot must be the same as Bot.TemplateName."
Building.Dam.Description,Suyu engeller ancak bir kısmının tepedeki savaktan geçmesine izin verir.,Spillway is a hole near the top that allows for the water to pass.
Building.Dam.DisplayName,Baraj,
Building.Dam.FlavorDescription,Medeniyetlerin temellerinin su altında atıldığını herkes bilir.,
Building.DanceHall.Description,Kunduzların kuyruklarını uzatıp dinlenebilecekleri bir salon.,
Building.DanceHall.DisplayName,Dans Salonu,
Building.DanceHall.FlavorDescription,"""Hadisene, kenarda Demir Diş gibi dikilmeye mi geldin?"" —Suli",Iron Teeth must be the same as Faction.IronTeeth.DisplayName. Suli is a younger beaver that likes to play tricks on their fellow beavers and isn't related to any faction in particular. Translated name shouldn't suggest a gender if possible.
Building.DecontaminationPod.Description,Kunduzların maruz kaldıkları bulantıdan arınabilecekleri bir banyo.,Badwater should be the same as Good.Badwater.DisplayName.
Building.DecontaminationPod.DisplayName,Arınma Kapsülü,Ideally the name of the building should refer to the contamination effect on the beaver (Need.BadwaterContamination).
Building.DecontaminationPod.FlavorDescription,"""Hayır Suli, özü içemezsin. Yavruyken kazanın içine düşmüştün!"" —Ngonel Nine","Reference to Obelix from Asterix and Obelix falling into a cauldron. Suli is a younger beaver that likes to play tricks on their fellow beavers and isn't related to any faction in particular. Translated name shouldn't suggest a gender if possible. Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.DeepBadwaterPump.DisplayName,Derin Bulantı Pompası,"Badwater Pump Must be the same as Building.BadwaterPump.DisplayName, Deep should be the same as in Building.DeepWaterPump.DisplayName"
Building.DeepBadwaterPump.FlavorDescription,"Uzatılmış borusuyla hem yükseklik farkına, hem de kokuya karşı etkilidir.",
Building.DeepMechanicalFluidPump.DisplayName,Derin Mekanik Sıvı Pompası,
Building.DeepWaterPump.Description,"Kunduzlar için içme suyu pompalar ve filtreler. Bulantı kirliliği, pompalama hızını düşürür.",
Building.DeepWaterPump.DisplayName,Derin Su Pompası,A water pump which can access deeper water than a regular pump.
Building.DeepWaterPump.FlavorDescription,"""Su gelir su kamışlarının yetiştiği topraktan, kunduzların tesisatçı olduğu yer altından."" —Demir Diş çalışma şarkısı","Adapted from Men at Work's famous 'Down Under' song ; Iron Teeth is a faction name, keep consistent (Faction.IronTeeth.DisplayName)"
Building.Detailer.Description,Kunduz kuyruklarını özelleştirir.,This building allows the player to paint beavers' tails.
Building.Detailer.DisplayName,Özelleştirici,Detailer references that the tail customisations are details/decorations.
Building.Detailer.Folktails.FlavorDescription,Kuyruğunla bir hikâye anlat.,"Only Folktails have ads, so they can also have magazines. ""Weird Tales"" is a famous pulp magazine."
Building.Detailer.IronTeeth.FlavorDescription,"Hadi, elini korkak alıştırma. —Suli","Wordplay, as the IT variant looks painful to use."
Building.DirtExcavator.Description,Toprak toplamaya yarayan ağır bir madencilik iş makinesi. Ana kayalara ulaştıktan sonra bile toprak üretmeye devam eder.,Dirt must the same as Good.Dirt.DisplayName.
Building.DirtExcavator.DisplayName,Toprak Kazıcı,"A machine used to gather dirt, leaving a giant hole. Dirt must be the same as Good.Dirt.DisplayName."
Building.DirtExcavator.FlavorDescription,Kaz kazan!,It's literally not a drill. It's a different kind of mining equipment. ;)
Building.DistrictCenter.Description,"Kendi nüfusuna, mallarına ve ayrı bir yol ağına sahip bir bölge kurar. İnşaatçı istihdam eder.",
Building.DistrictCenter.DisplayName,Bölge Merkezi,
Building.DistrictCenter.FlavorDescription.Folktails,"“Huzur, yemek ve sağlam odun."" —Köykuyrukların sloganı",The motto must be the same as in Faction.Folktails.Description
Building.DistrictCenter.FlavorDescription.IronTeeth,"""Sıkı çalış, sıkı çalış."" —Demir Dişlerin sloganı",The motto must be the same as in Faction.IronTeeth.Description
Building.DistrictCrossing.Description,"Birbirine bağlı iki bölge arasındaki malları dengeler. Her iki tarafın, Bölge Ağzı ile bölgenin geri kalanı arasında mal dağıtımından sorumlu işçileri vardır.",Districts should be the same as in Building.DistrictCenter.DisplayName
Building.DistrictCrossing.DisplayName,Bölge Ağzı,District should be the same as in Building.DistrictCenter.DisplayName
Building.DistrictCrossing.FlavorDescription,Bölgelerin gerçekten ağzı olsa da konuşsa...,"Referencing ""Why did a chicken cross a road"" jokes"
Building.DoubleDynamite.DisplayName,İkili Dinamit,Dynamite that makes 2 blocks deep hole
Building.DoubleFloodgate.DisplayName,İkili Bent Kapağı,
Building.DoubleFloodgate.FlavorDescription,Mükemmelliğe nasıl ulaşırsın? Boyunu uzatarak.,
Building.DoubleLodge.Description,"Daha fazla kunduz alabilen, daha büyük bir barınak.",
Building.DoubleLodge.DisplayName,İkili Barınak,This lodge fits twice as many beavers
Building.DoubleLodge.FlavorDescription,"Ne kadar çok, o kadar iyi.",This lodge fits twice as many beavers as a standard one
Building.DoublePlatform.DisplayName,İkili Platform,Double meaning twice as tall.
Building.DoublePlatform.FlavorDescription,"İki kat daha büyük, üstelik aynı sağlamlıkta.",
Building.DoubleShower.DisplayName,İkili Duş,A version of Building.Shower.DisplayName that can be used by two beavers at the same time
Building.DoubleShower.FlavorDescription,"""Dünkü duş arkadaşım daha iyiydi."" —Pina",
Building.Dynamite.Armed,Yerleştirildi!,Dynamite is set to detonate
Building.Dynamite.BeaverDeathMessage,{0} bir patlama sonucu hayatını kaybetti.,{0} stands for beaver name
Building.Dynamite.CantDetonate,"Patlatılamıyor, fazla alçakta",Message shows if dynamite is built on the lowest level of the map
Building.Dynamite.Description,Altındaki araziyi yok eder ve bitişiğindeki dinamitleri de tetikler.,Triggers can be changed to detonates
Building.Dynamite.Detonate,Patlat,A button.
Building.Dynamite.DisplayName,Dinamit,There's a good called Explosives so they need to have different names
Building.Dynamite.ExplosionDepth,Patlama derinliği: {0},"Explains how deep the dynamite explosion is, {0} stands for the vertical number of blocks"
Building.Dynamite.FlavorDescription,Kıyamet sonrası dünyaya uyum sağlamak için bazı uç önlemlerin alınması gerekiyordu.,
Building.EarthRecultivator.Folktails.Description,Dünyanın dört bir yanına ağaç tohumları saçar. Fırlatıldığında bölgedeki kunduzlar daha mutlu olur.,
Building.EarthRecultivator.Folktails.DisplayName,Dünya Ağaçlandırıcı,Earth meaning planet Earth and Recultivator meaning regenerating the planet.
Building.EarthRecultivator.Folktails.FlavorDescription,Her tohumla umut da büyüyor.,
Building.EarthRepopulator.IronTeeth.Description,Uzak diyarlara öncüler gönderir. Fırlatıldığında bölgedeki kunduzlar daha mutlu olur.,
Building.EarthRepopulator.IronTeeth.DisplayName,Dünya Nüfusu Arttırıcı,Earth meaning planet Earth and Repopulator meaning starting new colonies or restoring the population.
Building.EarthRepopulator.IronTeeth.FlavorDescription,Mancınıkla yapılan çeşitli denemelerden sonra bu tasarımın daha uygun olduğu kanısına varıldı.,"This building looks like a plane runway, so this jokingly references a more primitive idea."
Building.EfficientFarmhouse.Description,"Ekin ekip biçen çiftçileri istihdam eder. Genişletilmiş Köykuyruk tasarımı, çiftçi kapasitesini arttırır.",Farmhouse should be the same as in Building.Farmhouse.DisplayName
Building.EfficientFarmhouse.DisplayName,Verimli Çiftlik Evi,Farmhouse should be the same as in Building.Farmhouse.DisplayName
